# Bullinger	Heinrich
# Bullinger	Heinrich sen
# Bullinger	Heinrich jun
#	Melius	Peter
#	Melnchthon	Philipp
#	Melschtin	s.n.
#	Menius	Eusebius
#	MenscheverCus	Heinrich
#	Meyer	Agricola Lorenz
#	Mffier	Eohann Baptist
#	Mffler	Johannes
#	Mfttlr	Jehaaaes
#	Mftu	Jakob
#	Micronius	artin
#	Mieronius	Martin
#	Milander	Engelberg
#	Mnct	s.n.
#	Mommer	Aegidius
#	Mommerus	Aegidius
#	Monau	Jakoh
#	Monier	Claude Ref
#	Mont	Christoph er
#	Mont	Christophe
#	Mont	Christopherus
#	MontMundt	Christopher
#	Morelet	deMuseau Antoine
#	Morison	Richard
#	MowU	s.n.
#	Mumius	Tilemanus
#	Murer	Johann Jakob
#	Musch	s.n.
#	Musculus	Abraham
#	Musculus	Johann Heinrich
#	Musculus	Volfgang
#	Musculus	Wgang
#	Musculus	Wolfgäng
#	Musen	crer
#	Museulus	Wolfgang
#	MyConius	Oswald
#	Myconlus	Oswald
#	Mycouius	Oswald
#	Mycqnius	Oswald
#	Myeonius	Oswald
#	Myliagrius	Jacobus
#	Mylius	Mysius Jeremias
#	Mötnhart	Georg
#	Mötteli	Martin
#	Mülfnen	Beat Ludwig vom
#	Mülhauser	Geistliche
#	Mülinen	Beat
#	Mülinen	Beat Ludwig
#	MüljmenVlittdwig	Ton
#	Müller	s.n.
#	Müller	Johannes Baptist
#	Müller	Kaspar
#	Müller	Nikolaus
#	Müschius	Johannes
#	Naillosius	J P
#	Neue	Zeitung
#	Neue	Zeitung aus Rom
#	Neue	Zeitung aus Venedig
#	Neügeliijl	Christian
#	Nitgelifc	Christian
#	Ntioulin	Charles Sa
#	Nägeli	Christian
#	Nötzli	Markus
#	NüscheJjrler	Johann Jakob
#	Nüscheler	JdgAnn Jakob
#	ObrecM	ieorg
#	Oitews	s.n.
#	Olevinus	Caspar
#	Operis	Johannes
#	Oporia	Johannes
#	Oporin	s.n.
#	Orth	Wigand
#	Ostrorlg	Wenzeslaus
#	Ostrorog	Johannes
#	Ostrorog	Wemzeiaus
#	Ottheinrich	Pfalzgraf
#	Ourio	Coelius Secundus
#	Ourio	Ooelius Secundus
#	PVten	Georg
#	Paceus	HartungFried
#	Paelesius	Stanislaus
#	Paklepka	Paclesius
#	Paravicini	Bartholomäus
#	Parkhiet	Joha
#	Parkhunst	John
#	Parkhurst	Margaret
#	Parkhurst	Margret
#	Patiricius	Johannes
#	Pauli	Gregor
#	Pauli	Pawel Gregor
#	Pechius	Sebastian
